Namesake,NamingCategory_1,NamingCategory_2,NamingSource
"Lake Superior, North America",Geographical,Lake,https://en.wikipedia.org/wiki/Lake_Superior
"Lake Tahoe, California, US",Geographical,Lake,https://en.wikipedia.org/wiki/Lake_Tahoe
"Lake Tokiwa, Japan",Geographical,Lake,https://en.wikipedia.org/wiki/Tokiwa_Park
Moosehead Lake,Geographical,Lake,https://en.wikipedia.org/wiki/Moosehead_Lake
"Dunderberg Mountain, New York, US",Geographical,Mountain,https://en.wikipedia.org/wiki/Dunderberg_Mountain
"Mount Akagi, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Akagi
"Mount Amagi, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Amagi
"Mount Aoba, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Aoba
"Mount Asama, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Asama
"Mount Ashigara, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Ashigara
"Mount Aso, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Aso
"Mount Atago, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Atago
"Mount Azuma, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Azuma-kofuji
"Mount Chokai, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Ch%C5%8Dkai
"Mount Fuji, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Fuji
"Mount Furutaka, Japan",Geographical,Mountain,
"Mount Haguro, Japan",Geographical,Mountain,https://en.wikipedia.org/wiki/Mount_Haguro
