FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
bb_colorado_mod1,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado_mod1,28-p-quad_x4,28-het-mk1,AA Battery,4
bb_colorado_mod1,20-p-mk6_x14,20-he-mk3,AA Battery,5
bb_colorado_mod1,12-p-mk3_x8-standard,12-b-us,AA Battery,6
bb_colorado_mod1|colorado_1942,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1|colorado_1942,127-p-p15_x10,127-ap,Secondary Gun,2
bb_colorado_mod1|colorado_1942,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado_mod1|colorado_1942,40-t-mk2_x6-col,40-he-mk1,AA Battery,4
bb_colorado_mod1|colorado_1942,20-p-mk6_x42,20-he-mk3,AA Battery,5
bb_colorado_mod1|colorado_1942,12-p-mk3_x8-standard,12-b-us,AA Battery,6
bb_colorado_mod1|colorado_1944,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1|colorado_1944,127-p-p15_x8,127-ap,Secondary Gun,2
bb_colorado_mod1|colorado_1944,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado_mod1|colorado_1944,40-t-mk2_x8-col,40-he-mk1,AA Battery,4
bb_colorado_mod1|colorado_1944,40-t-mk1_x2-f-ps,40-he-mk1,AA Battery,4
bb_colorado_mod1|colorado_1944,20-p-mk6_x41-col,20-he-mk3,AA Battery,5
bb_colorado_mod1|maryland,406-ag-2_abxy,406-ap-mk3,Primary Gun,1
bb_colorado_mod1|maryland,127-p-p15_x10,127-ap,Secondary Gun,2
bb_colorado_mod1|maryland,127-p-mk19_x8,127-hc-mk36_127-aac-mk28,AA Battery,3
bb_colorado_mod1|maryland,28-p-quad_x4,28-het-mk1,AA Battery,4
bb_colorado_mod1|maryland,12-p-mk3_x10,12-b-us,AA Battery,5
